"Dataset","Model","Mean_WAIC","AICc","Num_Obs"
"575DA7SF_5.csv","gompertz_survival",-17.611942756558,-3.61194275655795,7
"575DA7SF_5.csv","loglogistic",-15.7467533703017,-1.74675337030174,7
"575DA7SF_5.csv","generalizedgamma",-17.3998144886398,10.6001855113602,7
"575DA7SF_6.csv","exponential",-16.6168069098052,-9.6168069098052,7
"575DA7SF_6.csv","weibull",-17.4135943083744,-3.41359430837437,7
"575DA7SF_6.csv","gompertz_hazard",-14.4842237942111,-0.484223794211125,7
"575DA7SF_6.csv","gompertz_survival",-17.89472732703,-3.89472732703,7
"575DA7SF_6.csv","loglogistic",-15.9999645365505,-1.99996453655046,7
"575DA7SF_6.csv","generalizedgamma",-17.7342597472026,10.2657402527974,7
"59XSYFHS.csv","exponential",2.49803151193042,8.21231722621613,10
"59XSYFHS.csv","weibull",2.49125005813765,12.4912500581377,10
"59XSYFHS.csv","gompertz_hazard",2.49127664024591,12.4912766402459,10
"59XSYFHS.csv","gompertz_survival",2.49125379450059,12.4912537945006,10
"59XSYFHS.csv","loglogistic",2.49125005831361,12.4912500583136,10
"5NVSCRNB_1.csv","exponential",-1.98686767442278,8.01313232557722,5
"5NVSCRNB_1.csv","weibull",-11.0503306854934,18.9496693145066,5
"5NVSCRNB_1.csv","gompertz_hazard",-10.7559561707262,19.2440438292737,5
"5NVSCRNB_1.csv","loglogistic",-12.0196143514694,17.9803856485306,5
"5NVSCRNB_1.csv","generalizedgamma",-11.1547404791299,Inf,5
"5NVSCRNB_2.csv","exponential",-1.98851855839112,8.01148144160888,5
"5NVSCRNB_2.csv","weibull",-11.2701902793368,18.7298097206632,5
"5NVSCRNB_2.csv","gompertz_hazard",-10.9410949130165,19.0589050869835,5
"5NVSCRNB_2.csv","loglogistic",-12.2883410324104,17.7116589675896,5
"5NVSCRNB_2.csv","generalizedgamma",-11.3886039304163,Inf,5
"72SE5ARY_1.csv","exponential",-50.999014484757,-46.3323478180904,21
"72SE5ARY_1.csv","weibull",-56.9831713908426,-49.5714066849602,21
"72SE5ARY_1.csv","gompertz_hazard",-44.2028895705152,-36.7911248646329,21
"72SE5ARY_1.csv","gompertz_survival",-54.5241407851548,-47.1123760792724,21
"72SE5ARY_1.csv","loglogistic",-61.1193270946452,-53.7075623887628,21
"72SE5ARY_1.csv","generalizedgamma",-56.9804475565629,-46.4804475565629,21
"72SE5ARY_2.csv","exponential",-56.3698057134704,-51.7031390468038,21
"72SE5ARY_2.csv","weibull",-57.4234415112356,-50.0116768053532,21
"72SE5ARY_2.csv","gompertz_hazard",-42.0468584366101,-34.6350937307278,21
"72SE5ARY_2.csv","gompertz_survival",-56.4779629339268,-49.0661982280444,21
"72SE5ARY_2.csv","loglogistic",-70.0666379074126,-62.6548732015302,21
"72SE5ARY_2.csv","generalizedgamma",-57.4209496404887,-46.9209496404887,21
"79KTQG42_1.csv","exponential",-26.5636784953895,-18.5636784953895,6
