"Dataset","constant_AICc","constant_lambda","gompertz_AICc","survival_a","gompertz_b","weibull_AICc","weibull_lambda","weibull_k","loglogistic_AICc","loglogistic_alpha","loglogistic_beta","gamma_AICc","gamma_alpha","gamma_beta","gamma_gamma","deltaCG"
"4SCACQZH_2.csv",0.275499947562808,0.583182950096124,-66.2453917654263,0.0079591775734235,8.77964748193487,-76.8851427432611,0.793183219311541,5.95440972232228,-67.8604864308012,0.727870068417077,8.27617717740657,-73.1632759223786,171049.551187103,5.98034508852381,2.98325364578007,66.5208917129891
"53R259IA.csv",6.08099592889429,1.15801941505856,-10.9154720363414,0.0701683736633797,5.70538650918661,-8.05150896163352,0.76236629273949,4.10469931773861,-0.713954378379089,0.68172076727094,5.96859174030199,19.2904537953154,1.60227967895051,0.855237648039337,3.2869465610133,16.9964679652357
"575DA7SF_3.csv",-4.85790790312407,1.48953448333893,-7.4120606552871,0.207654390463228,3.91169857503266,-4.40687379897348,0.767642518165183,3.83951451160936,-3.37749467937298,0.693226302553271,6.26586997877661,1.97591247757886,3.72491193477011,1.08998511453623,2.27016162974965,2.55415275216303
"575DA7SF_4.csv",-5.46879423989817,1.4838374491599,-8.18650356487434,0.233645025249063,3.72969650532614,-4.97829048319693,0.761451169182924,3.59188697840463,-3.92233301836966,0.683783922013975,5.8887954481078,1.33345509514809,3.69960141974093,1.10597179987825,2.12409138061794,2.71770932497617
"575DA7SF_5.csv",-8.89195453439613,3.89704820233672,-3.13478791624271,2.92047165659695,1.7118355276225,-2.68894916421136,0.25889665610251,1.15724165108801,-1.43429213901405,0.169382785163187,1.68205718838427,11.0314296211539,1.47048732731928,0.363860322789802,0.961263947568224,-5.75716661815342
"575DA7SF_6.csv",-9.57093508389067,3.88885760697939,-4.11976662890489,2.87824425113469,1.78592840238655,-3.59258307784181,0.25944366709439,1.16924142557908,-2.17207919886613,0.17057674284339,1.70352903392302,10.0801287680926,1.50355198756696,0.369882365377985,0.963067617104229,-5.45116845498578
"59BLIYRR.csv",0.930780339997349,1.85491113322656,-94.9596377087958,0.0483924241328161,9.85433254128628,-91.9499509416826,0.536687007422545,4.94259171141611,-73.8752432075014,0.492971819461282,7.86119398043924,-93.8445252634342,8.61021842169429,0.801089713274876,3.00349105546569,95.8904180487932
"59XSYFHS.csv",0.858424676173513,1.39312313758781,-43.3280586767703,0.116201838106368,6.99522319615859,-47.9287882404285,0.576456693408337,3.79862021515541,-51.7086569122335,0.50380541440954,5.78257273576643,-45.6765051998646,0.943989291157574,0.56368006275593,4.03103912617119,44.1864833529438
"5NVSCRNB_1.csv",7.9434931044201,1.29376412528249,18.9203327900111,0.00838259454244001,7.99389053360776,18.6009573396668,0.854252581847047,7.03902423405074,17.5780738425599,0.806075185665321,13.0596116207088,Inf,0.92812578574772,0.841177110921862,8.09870741466991,-10.976839685591
"5NVSCRNB_2.csv",7.93855768476048,1.29543473979012,18.9727380020858,0.00860225282918774,7.97289678896887,18.6584070604038,0.852931280195553,7.01248533094868,17.6479441519649,0.804691176228396,13.0413020800972,Inf,0.928976394584678,0.840023556342758,8.04980607425404,-11.0341803173253
"72SE5ARY_1.csv",-57.700411404968,9.51803419696929,-60.2756466423663,11.8013471801915,-2.34245409054198,-71.5943821649961,0.0883720605941507,0.686691819878453,-58.020509994086,0.0522120416911447,1.28167427714715,NA,NA,NA,NA,2.5752352373983
"72SE5ARY_2.csv",-61.6818304329285,10.6653988527199,-77.998138465006,14.191170859568,-3.71874147813608,-111.745867208656,0.0737580918439378,0.590711741828883,-86.0748506705366,0.0459441363605954,1.20256500235709,NA,NA,NA,NA,16.3163080320775
"79KTQG42_1.csv",-18.0067568799178,4.64533016254566,-11.0823959965797,3.8307575475114,1.18601170212084,-12.3636823564286,0.227553139252063,1.24435213639911,-14.4416129490755,0.179425501070116,2.54255887848562,17.6392240998757,217363.296961668,4399.02930534038,0.622709604750019,-6.9243608833381
"7BHF4LIC_1.csv",-31.6415869403225,2.26298461932929,-136.443176379921,0.364786162783304,6.68077980049398,-173.779707812282,0.436655769193538,2.73155491496209,-218.314942343414,0.371982916843486,4.22023053088478,-171.203833917463,89929.575916392,28.2339377367174,1.36850370636797,104.801589439599
"7BHF4LIC_2.csv",-28.6935531723795,1.65603429859884,-161.233598115942,0.299953523528851,4.90696147489298,-240.683120995712,0.56882219932813,2.74058528630629,-203.742473751405,0.483016754123941,4.15405098380893,-250.063681693112,0.947394777305489,0.554130320758074,2.91476694005274,132.540044943562
"7BHF4LIC_3.csv",-68.5724527739498,2.26473605359779,-214.174643941118,0.527246904583648,5.48341957538734,-289.540229997755,0.435287680614287,2.40647917561358,-443.73857074528,0.362423857476083,3.72968756802905,-287.030434267975,198626.189138491,68.9126169256731,1.20467218875907,145.602191167168
"7CJPGPP9_1.csv",-2.10121059275868,1.58784692127955,-40.3115591275557,0.178615447896067,5.81798730561413,-44.0927116409422,0.59453175767172,3.25444282863105,-39.982579114524,0.518772917729775,5.0643139582181,-40.0964690255886,57.5976139068438,1.94678398990403,1.76069442992262,38.210348534797
"7CJPGPP9_2.csv",-1.52100780665705,1.56688145039823,-43.7233250725422,0.18170048558037,5.67770166397185,-50.9060517229433,0.600117997697959,3.18795993102143,-39.0911191501072,0.519558357325416,4.79671970112544,-46.9480655675921,1.07579358837193,0.616348107276644,3.01634205160636,42.2023172658851
"83ZYKHKT.csv",-5.10919385939124,5.58116066581841,0.516536576984704,3.49523339931672,3.47843408013068,0.831969329264945,0.193078144115142,1.3756553266786,1.66861801405493,0.14375536565953,2.25892224961068,14.6588649391552,1.60107232064178,0.273384172200167,1.05751105367373,-5.62573043637594
"8C5XBCN2A.csv",-1.03175528638103,1.60328605268889,-27.3187658626663,0.28627009024868,4.49704733811746,-21.6053911061906,0.610243229678758,2.68464309423983,-12.4052432299633,0.515283855421852,3.97557001268892,-16.0912436493775,1.81713728241206,0.758173114472751,2.07870849248797,26.2870105762853
"8C5XBCN2B.csv",-1.03175528638103,1.60328605268889,-27.3187658626663,0.28627009024868,4.49704733811746,-21.6053911061906,0.610243229678758,2.68464309423983,-12.4052432299633,0.515283855421852,3.97557001268892,-16.0912436493775,1.81713728241206,0.758173114472751,2.07870849248797,26.2870105762853
"8VX95356.csv",-43.1639143001992,3.07974705268256,-42.3285786121084,2.67259337624444,0.61660243790696,-40.3135353845165,0.326909855288355,1.03881586724912,-29.9003517422991,0.214786799019555,1.59961911678618,-40.450203360474,1.85112161321892,0.589057367087968,0.778896414415578,-0.835335688090801
