"Dataset","Model","AICc","lambda","k","a","b","alpha","beta","gamma","LT50","Log_MT_Linearity","Num_Obs"
"2DVV3DN4_1.csv","generalizedgamma",27.2928756031314,NA,NA,NA,NA,1.35251350001509,0.686631551671875,3.46579532640208,NA,NA,6
"2DVV3DN4_1.csv","exponential",4.18096674919672,1.74141924878677,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_1.csv","weibull",-2.283873614445,0.636180399314448,4.18406687787243,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_1.csv","gompertz_survival",-2.81885875286334,NA,NA,0.0987107501873508,6.53819047385086,NA,NA,NA,0.588581246891125,NA,6
"2DVV3DN4_1.csv","gompertz_survival_rawtime",-2.81885875107508,NA,NA,0.000410478278456011,0.0271877153435982,NA,NA,NA,141.543061130004,NA,6
"2DVV3DN4_1.csv","loglogistic",0.129438506953814,NA,NA,NA,NA,0.573199013422324,6.55863001550501,NA,NA,NA,6
"2DVV3DN4_1.csv","generalizedgamma",27.2928756031314,NA,NA,NA,NA,1.35251350001509,0.686631551671875,3.46579532640208,NA,NA,6
"2DVV3DN4_2.csv","exponential",8.83681364521729,1.87149096559355,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","weibull",-6.89276244496499,0.592434722754976,15.0676897009478,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","gompertz_survival",-6.89191116050171,NA,NA,2.11833424858154e-06,27.6247074711826,NA,NA,NA,0.579809878066237,NA,6
"2DVV3DN4_2.csv","gompertz_survival_rawtime",-6.89191116050171,NA,NA,8.83190460477003e-09,0.115174827239215,NA,NA,NA,139.06752590299,NA,6
"2DVV3DN4_2.csv","loglogistic",-12.6815412727821,NA,NA,NA,NA,0.572168885528313,16.9563269039808,NA,NA,NA,6
"2DVV3DN4_2.csv","exponential",8.83681364521729,1.87149096559355,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","weibull",-6.89276244496499,0.592434722754976,15.0676897009478,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","gompertz_survival",-6.89191116050171,NA,NA,2.11833424858154e-06,27.6247074711826,NA,NA,NA,0.579809878066237,NA,6
"2DVV3DN4_2.csv","gompertz_survival_rawtime",-6.89191116050171,NA,NA,8.83190460477003e-09,0.115174827239215,NA,NA,NA,139.06752590299,NA,6
"2DVV3DN4_2.csv","loglogistic",-12.6815412727821,NA,NA,NA,NA,0.572168885528313,16.9563269039808,NA,NA,NA,6
"2DVV3DN4_2.csv","exponential",8.83681364521729,1.87149096559355,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","weibull",-6.89276244496499,0.592434722754976,15.0676897009478,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","gompertz_survival",-6.89191116050171,NA,NA,2.11833424858154e-06,27.6247074711826,NA,NA,NA,0.579809878066237,NA,6
"2DVV3DN4_2.csv","gompertz_survival_rawtime",-6.89191116050171,NA,NA,8.83190460477003e-09,0.115174827239215,NA,NA,NA,139.06752590299,NA,6
"2DVV3DN4_2.csv","loglogistic",-12.6815412727821,NA,NA,NA,NA,0.572168885528313,16.9563269039808,NA,NA,NA,6
"2DVV3DN4_2.csv","exponential",8.83681364521729,1.87149096559355,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","weibull",-6.89276244496499,0.592434722754976,15.0676897009478,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","gompertz_survival",-6.89191116050171,NA,NA,2.11833424858154e-06,27.6247074711826,NA,NA,NA,0.579809878066237,NA,6
"2DVV3DN4_2.csv","gompertz_survival_rawtime",-6.89191116050171,NA,NA,8.83190460477003e-09,0.115174827239215,NA,NA,NA,139.06752590299,NA,6
"2DVV3DN4_2.csv","loglogistic",-12.6815412727821,NA,NA,NA,NA,0.572168885528313,16.9563269039808,NA,NA,NA,6
"2DVV3DN4_2.csv","exponential",8.83681364521729,1.87149096559355,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","weibull",-6.89276244496499,0.592434722754976,15.0676897009478,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","gompertz_survival",-6.89191116050171,NA,NA,2.11833424858154e-06,27.6247074711826,NA,NA,NA,0.579809878066237,NA,6
"2DVV3DN4_2.csv","gompertz_survival_rawtime",-6.89191116050171,NA,NA,8.83190460477003e-09,0.115174827239215,NA,NA,NA,139.06752590299,NA,6
"2DVV3DN4_2.csv","loglogistic",-12.6815412727821,NA,NA,NA,NA,0.572168885528313,16.9563269039808,NA,NA,NA,6
"2DVV3DN4_2.csv","exponential",8.83681364521729,1.87149096559355,NA,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","weibull",-6.89276244496499,0.592434722754976,15.0676897009478,NA,NA,NA,NA,NA,NA,NA,6
"2DVV3DN4_2.csv","gompertz_survival",-6.89191116050171,NA,NA,2.11833424858154e-06,27.6247074711826,NA,NA,NA,0.579809878066237,NA,6
"2DVV3DN4_2.csv","gompertz_survival_rawtime",-6.89191116050171,NA,NA,8.83190460477003e-09,0.115174827239215,NA,NA,NA,139.06752590299,NA,6
"2DVV3DN4_2.csv","loglogistic",-12.6815412727821,NA,NA,NA,NA,0.572168885528313,16.9563269039808,NA,NA,NA,6
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","weibull",-60.4673969513662,0.57650372006873,2.53328950013766,NA,NA,NA,NA,NA,NA,NA,14
"2JL6JPJI_1.csv","gompertz_survival",-44.9898475126182,NA,NA,0.361603956737843,4.31333761573573,NA,NA,NA,0.516207780193999,NA,14
"2JL6JPJI_1.csv","gompertz_survival_rawtime",-32.0088879297307,NA,NA,5.75536374269605e-14,0.057669230065556,NA,NA,NA,472.808715902555,NA,14
"2JL6JPJI_1.csv","loglogistic",-47.4872728883218,NA,NA,NA,NA,0.481545499907051,3.83976657890817,NA,NA,NA,14
"2JL6JPJI_1.csv","generalizedgamma",-56.4236745942173,NA,NA,NA,NA,1.00164393955819,0.576973093602264,2.52935925822933,NA,NA,14
"2JL6JPJI_1.csv","exponential",-7.18511508009215,1.67567479838688,NA,NA,NA,NA,NA,NA,NA,NA,14
